EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,YearlyIncome
104,30,Travel_Rarely,852,Research & Development,1,1.0,Life Sciences,4.0,Male,55,2.0,2.0,Laboratory Technician,4.0,Married,5126,15998,1,Yes,12,3.0,3.0,80,2.0,10,1,2.0,10,8,3,0,0,61512
1638,38,Travel_Rarely,397,Research & Development,2,2.0,Medical,4.0,Female,54,2.0,3.0,Manufacturing Director,3.0,Married,7756,14199,3,Yes,19,3.0,4.0,80,1.0,10,6,4.0,5,4,0,2,0,93072
164,26,Travel_Rarely,841,Research & Development,6,3.0,Other,3.0,Female,46,2.0,1.0,Research Scientist,2.0,Married,2368,23300,1,No,19,3.0,3.0,80,0.0,5,3,2.0,5,4,4,3,0,28416
395,28,Travel_Rarely,1117,Research & Development,8,2.0,Life Sciences,4.0,Female,66,3.0,1.0,Research Scientist,4.0,Single,3310,4488,1,No,21,4.0,4.0,80,0.0,5,3,3.0,5,3,0,2,0,39720
53,35,Travel_Rarely,464,Research & Development,4,2.0,Other,3.0,Male,75,3.0,1.0,Laboratory Technician,4.0,Divorced,1951,10910,1,No,12,3.0,3.0,80,1.0,1,3,3.0,1,0,0,0,0,23412
1467,34,Travel_Rarely,1107,Human Resources,9,4.0,Technical Degree,1.0,Female,52,3.0,1.0,Human Resources,3.0,Married,2742,3072,1,No,15,3.0,4.0,80,0.0,2,0,3.0,2,2,2,2,1,32904
727,32,Travel_Rarely,1018,Research & Development,3,2.0,Life Sciences,3.0,Female,39,3.0,3.0,Research Director,4.0,Single,11159,19373,3,No,15,3.0,4.0,80,0.0,10,6,3.0,7,7,7,7,0,133908
351,42,Travel_Rarely,269,Research & Development,2,3.0,Medical,4.0,Female,56,2.0,1.0,Laboratory Technician,1.0,Divorced,2593,8007,0,Yes,11,3.0,3.0,80,1.0,10,4,3.0,9,6,7,8,0,31116
555,34,Travel_Frequently,296,Sales,6,2.0,Marketing,4.0,Female,33,1.0,1.0,Sales Representative,3.0,Divorced,2351,12253,0,No,16,3.0,4.0,80,1.0,3,3,2.0,2,2,1,0,1,28212
253,40,Travel_Rarely,989,Research & Development,4,1.0,Medical,4.0,Female,46,3.0,5.0,Manager,3.0,Married,19033,6499,1,No,14,3.0,2.0,80,1.0,21,2,3.0,20,8,9,9,0,228396
1363,48,Travel_Rarely,855,Research & Development,4,3.0,Life Sciences,4.0,Male,54,3.0,3.0,Manufacturing Director,4.0,Single,7898,18706,1,No,11,3.0,3.0,80,0.0,11,2,3.0,10,9,0,8,0,94776
1799,28,Travel_Rarely,1181,Research & Development,1,3.0,Life Sciences,3.0,Male,82,3.0,1.0,Research Scientist,4.0,Married,2044,5531,1,No,11,3.0,3.0,80,1.0,5,6,4.0,5,3,0,3,0,24528
42,39,Travel_Rarely,895,Sales,5,3.0,Technical Degree,4.0,Male,56,3.0,2.0,Sales Representative,4.0,Married,2086,3335,3,No,14,3.0,3.0,80,1.0,19,6,4.0,1,0,0,0,1,25032
724,38,Travel_Rarely,827,Research & Development,1,4.0,Life Sciences,2.0,Female,33,4.0,2.0,Healthcare Representative,4.0,Single,7625,19383,0,No,13,3.0,3.0,80,0.0,10,4,2.0,9,7,1,8,0,91500
1671,32,Travel_Rarely,977,Research & Development,2,3.0,Medical,4.0,Male,45,3.0,2.0,Research Scientist,2.0,Divorced,5470,25518,0,No,13,3.0,3.0,80,2.0,10,4,2.0,9,5,1,6,0,65640
1624,18,Travel_Frequently,544,Sales,3,2.0,Medical,2.0,Female,70,3.0,1.0,Sales Representative,4.0,Single,1569,18420,1,Yes,12,3.0,3.0,80,0.0,0,2,4.0,0,0,0,0,1,18828
1778,43,Travel_Rarely,244,Human Resources,2,3.0,Life Sciences,2.0,Male,97,3.0,1.0,Human Resources,4.0,Single,3539,5033,0,No,13,3.0,2.0,80,0.0,10,5,3.0,9,7,1,8,0,42468
